Reference,London Borough Name,Casualty Class,Casualty Sex,Casualty Age Band,Casualty Age,Number Of Casualties,Casualty Severity,Pedestrian Location,Pedestrian Movement,Mode Of Travel,Attendant Location,Number Of Vehicles,Date,Day,Time,Highway,Road Class 1,Road Number 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road Number 2,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Easting,Northing,Longitude,Latitude,Ward Code,Ward Name,Spatial Accuracy,Location,Organisation URI,Socrata ID,Last Uploaded
1170065245,CAMDEN,1 Driver/Rider,1 Male,25-59,58,1,3 Slight,-2 Unknown,-2 N/A,4 Car,CAMDEN ROAD J/W CAMDEN PARK ROAD,3,18/10/2017 12:26:00 PM,Wednesday,12.26,1 TLRN,A,503,3 Dual Cwy,5 60 MPH,6 Crossroads,2 Auto Sig,A,5200,1 Zebra,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,529719,184867,-0.130583,51.547796,,,Unknown,"(51.547796, -0.130583)",http://opendatacommunities.org/id/london-borough-council/camden,7434,21/12/2020 02:48:40 PM
0115CW10962,CAMDEN,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,OXFORD STREET J/W TOTTENHAM COURT ROAD,2,04/07/2015 07:23:00 AM,Saturday,7.23,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130416,51.516346,,,Unknown,"(51.516346, -0.130416)",http://opendatacommunities.org/id/london-borough-council/camden,4568,21/12/2020 02:48:35 PM
1170072166,CAMDEN,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,SOUTHAMPTON ROW J/W THEOBALDS ROAD,2,26/10/2017 12:40:00 PM,Thursday,12.40,3 Bor,A,4200,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,401,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530457,181692,-0.121122,51.519093,,,Unknown,"(51.519093, -0.121122)",http://opendatacommunities.org/id/london-borough-council/camden,7536,21/12/2020 02:48:41 PM
1180136257,CAMDEN,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car,FINCHLEY ROAD J/W CANFIELD GARDENS,2,01/10/2018 08:55:00 AM,Monday,8.55,1 TLRN,A,41,2 One-Way St,1 <= 20 MPH,3 T/Stag Jun,2 Auto Sig,C,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526300,184660,-0.179939,51.546711,,,Unknown,"(51.546711, -0.179939)",http://opendatacommunities.org/id/london-borough-council/camden,8372,21/12/2020 02:48:42 PM
1180126219,CAMDEN,1 Driver/Rider,2 Female,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,EUSTON ROAD J/W GOWER STREET,2,10/08/2018 08:45:00 AM,Friday,8.45,1 TLRN,A,501,7 Slip Rd,1 <= 20 MPH,5 Slip Road,2 Auto Sig,A,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529380,182380,-0.136383,51.525524,,,Unknown,"(51.525524, -0.136383)",http://opendatacommunities.org/id/london-borough-council/camden,8240,21/12/2020 02:48:42 PM
1190169083,CAMDEN,3 PEDESTRIAN,1 MALE,16-24,24,1,3 SLIGHT,10 UNKNOWN OR OTHER,9 UNKNOWN OR OTHER,1 PEDESTRIAN,"On Goodge Street, 70 metres south of the junction with Pearson Square.",1,02/03/2019 10:30:00 PM,Saturday,22.30,3 BOR,A,400,2 ONE-WAY ST,30,00 NO JUN IN 20M,,0,0,9 UNKNOWN (S/R),1 DARK,1 FINE,1 ROAD-DRY,9 UNKNOWN (S/R),0 NONE,529534,181838,-0.134364,51.520617,,,Unknown,"(51.520617, -0.134364)",http://opendatacommunities.org/id/london-borough-council/camden,8844,21/12/2020 02:48:43 PM
1170047239,CAMDEN,2 Passenger,2 Female,60+,86,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,FINCLEY ROAD J/W HILLGROVE ROAD,2,07/07/2017 03:20:00 PM,Friday,15.20,1 TLRN,A,41,3 Dual Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,B,509,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526630,184120,-0.175377,51.541784,,,Unknown,"(51.541784, -0.175377)",http://opendatacommunities.org/id/london-borough-council/camden,7129,21/12/2020 02:48:40 PM
1180135977,CAMDEN,1 Driver/Rider,1 Male,25-59,39,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle,TOTTENHAM COURT ROAD J/W CHENIES STREET,2,18/09/2018 09:08:00 AM,Tuesday,9.08,3 Bor,A,400,2 One-Way St,2 30 MPH,99 Unknown (S/R),9 Unknown (S/R),Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529540,181820,-0.134284,51.520454,,,Unknown,"(51.520454, -0.134284)",http://opendatacommunities.org/id/london-borough-council/camden,8369,21/12/2020 02:48:42 PM
1180137292,CAMDEN,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,CLERKENWELL ROAD J/W GRAYS INN ROAD,2,06/10/2018 06:39:00 PM,Saturday,18.39,3 Bor,A,401,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,5200,5 Pedn Phase At Ats,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,530980,181970,-0.113485,51.521471,,,Unknown,"(51.521471, -0.113485)",http://opendatacommunities.org/id/london-borough-council/camden,8392,21/12/2020 02:48:42 PM
0115EK40148,CAMDEN,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car,ADELAIDE ROAD J/W AVENUE ROAD,2,09/01/2015 06:44:00 AM,Friday,6.44,1 TLRN,B,509,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,B,525,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526770,184120,-0.173359,51.541752,,,Unknown,"(51.541752, -0.173359)",http://opendatacommunities.org/id/london-borough-council/camden,4696,21/12/2020 02:48:36 PM
0115EK41204,CAMDEN,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,GRAYS INN ROAD J/W KINGS CROSS BRIDGE,2,17/12/2015 07:20:00 AM,Thursday,7.20,1 TLRN,A,5203,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,501,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,530430,182940,-0.121049,51.530315,,,Unknown,"(51.530315, -0.121049)",http://opendatacommunities.org/id/london-borough-council/camden,5581,21/12/2020 02:48:37 PM
1180087335,CAMDEN,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,PHOENIX PLACE J/W CALTHORPE STREET,2,02/02/2018 07:39:00 AM,Friday,7.39,3 Bor,C,0,3 Dual Cwy,1 <= 20 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,B,502,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530920,182410,-0.114186,51.525439,,,Unknown,"(51.525439, -0.114186)",http://opendatacommunities.org/id/london-borough-council/camden,7712,21/12/2020 02:48:41 PM
1170079620,CAMDEN,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,MAPLE STREET J/W TOTTENHAM COURT ROAD,2,21/12/2017 09:00:00 PM,Thursday,21.00,3 Bor,C,0,2 One-Way St,1 <= 20 MPH,3 T/Stag Jun,2 Auto Sig,A,400,4 Pelican Or Similar,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529340,182090,-0.137066,51.522927,,,Unknown,"(51.522927, -0.137066)",http://opendatacommunities.org/id/london-borough-council/camden,7625,21/12/2020 02:48:41 PM
0115EK41112,CAMDEN,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car,CAMDEN STREET J/W CAMDEN ROAD.,3,12/12/2015 10:30:00 PM,Saturday,22.30,1 TLRN,A,400,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,503,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529080,184050,-0.140093,51.5406,,,Unknown,"(51.5406, -0.140093)",http://opendatacommunities.org/id/london-borough-council/camden,5521,21/12/2020 02:48:37 PM
0115EK40978,CAMDEN,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car,CAMDEN ROAD J/W ST PANCRAS WAY.,2,04/11/2015 08:40:00 PM,Wednesday,20.40,1 TLRN,A,503,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,5202,5 Pedn Phase At Ats,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,529260,184300,-0.137408,51.542806,,,Unknown,"(51.542806, -0.137408)",http://opendatacommunities.org/id/london-borough-council/camden,5406,21/12/2020 02:48:37 PM
1170061044,CAMDEN,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,YORK WAY J/W BREWERY ROAD,2,26/09/2017 12:20:00 PM,Tuesday,12.20,3 Bor,A,5200,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,2 Auto Sig,C,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530060,184390,-0.125845,51.543431,,,Unknown,"(51.543431, -0.125845)",http://opendatacommunities.org/id/london-borough-council/camden,7348,21/12/2020 02:48:40 PM
0115EK40413,CAMDEN,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,4 Car,ELM STREET 34M NE OF J/W GRAY'S INN ROAD,2,26/05/2015 11:50:00 AM,Tuesday,11.50,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530950,182110,-0.113865,51.522736,,,Unknown,"(51.522736, -0.113865)",http://opendatacommunities.org/id/london-borough-council/camden,4908,21/12/2020 02:48:36 PM
0115EK40898,CAMDEN,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car,CAMDEN STREET J/W CROWNDALE ROAD,3,10/10/2015 08:30:00 PM,Saturday,20.30,1 TLRN,A,400,6 Single Cwy,1 <= 20 MPH,6 Crossroads,2 Auto Sig,B,512,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529410,183470,-0.135551,51.535312,,,Unknown,"(51.535312, -0.135551)",http://opendatacommunities.org/id/london-borough-council/camden,5339,21/12/2020 02:48:37 PM
1170066700,CAMDEN,1 Driver/Rider,1 Male,25-59,49,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,FINCHLEY ROAD J/W A41,2,26/10/2017 08:50:00 PM,Thursday,20.50,1 TLRN,A,41,7 Slip Rd,2 30 MPH,7 Multi Jun,2 Auto Sig,A,41,0 No Xing Facility In 50m,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,526650,184280,-0.175031,51.543217,,,Unknown,"(51.543217, -0.175031)",http://opendatacommunities.org/id/london-borough-council/camden,7458,21/12/2020 02:48:40 PM
1170016031,CAMDEN,2 Passenger,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car,KILBURN HIGH ROAD J/W WEST END LANE,2,02/02/2017 08:01:00 PM,Thursday,20.01,3 Bor,A,5,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,4 Pelican Or Similar,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,525370,183680,-0.193693,51.53811,,,Unknown,"(51.53811, -0.193693)",http://opendatacommunities.org/id/london-borough-council/camden,6640,21/12/2020 02:48:39 PM
1160024699,CAMDEN,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,EVERSHOLT STREET J/W GRAFTON PLACE,2,06/10/2016 08:27:00 PM,Thursday,20.27,3 Bor,A,4200,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,4200,5 Pedn Phase At Ats,2 Dark,9 Unknown,1 Road-Dry,0 None,0 None,529720,182640,-0.131389,51.527782,,,Unknown,"(51.527782, -0.131389)",http://opendatacommunities.org/id/london-borough-council/camden,5926,21/12/2020 02:48:38 PM
1170076631,CAMDEN,1 Driver/Rider,1 Male,16-24,20,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle,TAPPER WALK J/W YORK WAY,1,09/12/2017 06:30:00 PM,Saturday,18.30,3 Bor,Unclassified,0,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,A,5200,1 Zebra,2 Dark,4 Fine/High Winds,1 Road-Dry,0 None,2 Other Object In Cwy,530182,183921,-0.12426,51.539188,,,Unknown,"(51.539188, -0.12426)",http://opendatacommunities.org/id/london-borough-council/camden,7601,21/12/2020 02:48:41 PM
0115EK40820,CAMDEN,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,PARKWAY J/W ARLINGTON ROAD.,1,20/09/2015 07:43:00 PM,Sunday,19.43,3 Bor,A,4201,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,Unclassified,0,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528820,183810,-0.143928,51.538503,,,Unknown,"(51.538503, -0.143928)",http://opendatacommunities.org/id/london-borough-council/camden,5277,21/12/2020 02:48:37 PM
1160006354,CAMDEN,2 Passenger,2 Female,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,4 Car,A41 J/W FINCHLEY ROAD,2,11/12/2016 07:45:00 PM,Sunday,19.45,1 TLRN,A,41,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,598,0 No Xing Facility In 50m,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,525070,186030,-0.197182,51.559297,,,Unknown,"(51.559297, -0.197182)",http://opendatacommunities.org/id/london-borough-council/camden,5764,21/12/2020 02:48:37 PM
1180152058,CAMDEN,1 Driver/Rider,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,HAMPSTEAD ROAD 25M N OF J/W DRUMMON STREET,1,25/09/2018 08:10:00 AM,Tuesday,8.10,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,9 Unknown (S/R),1 Daylight,9 Unknown,9 Unknown (S/R),0 None,0 None,529120,182420,-0.140114,51.525943,,,Unknown,"(51.525943, -0.140114)",http://opendatacommunities.org/id/london-borough-council/camden,8608,21/12/2020 02:48:43 PM
0115EK40410,CAMDEN,2 Passenger,2 Female,0-15,3,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,HARRINGTON SQUARE J/W LIDLINGTON PLACE,1,22/05/2015 06:16:00 PM,Friday,18.16,3 Bor,A,400,2 One-Way St,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,4 Roadworks,0 None,529220,183220,-0.13838,51.533109,,,Unknown,"(51.533109, -0.13838)",http://opendatacommunities.org/id/london-borough-council/camden,4905,21/12/2020 02:48:36 PM
0115EK40985,CAMDEN,3 Pedestrian,2 Female,25-59,35,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,EUSTON STREET J/W MELTON STREET.,1,04/11/2015 08:59:00 AM,Wednesday,8.59,3 Bor,C,0,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,1 Zebra,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,529490,182570,-0.134729,51.527206,,,Unknown,"(51.527206, -0.134729)",http://opendatacommunities.org/id/london-borough-council/camden,5415,21/12/2020 02:48:37 PM
1190220859,CAMDEN,1 DRIVER/RIDER,1 MALE,25-59,37,1,3 SLIGHT,'-2 NOT APPLICABLE,9 UNKNOWN OR OTHER,3 POWERED 2 WHEELER,"On Grays Inn Road, near the junction with PENTONVILLE ROAD.",2,26/11/2019 12:25:00 PM,Tuesday,12.25,1 TLRN,A,501,2 ONE-WAY ST,30,07 MULTI JUN,2 AUTO SIG,A,501,1 ZEBRA,2 DAYLIGHT,1 FINE,2 ROAD-WET,0 NONE,0 NONE,530360,182971,-0.122046,51.53061,,,Unknown,"(51.53061, -0.122046)",http://opendatacommunities.org/id/london-borough-council/camden,9553,21/12/2020 02:48:44 PM
